Monthly Data for December 2017 for California

Name, StationType, MeanAvgTemperature
HETCH HETCHY, COOP, 45.0
CHERRY VALLEY DAM, COOP, 46.3
SONORA, COOP, 45.8
CONCORD BUCHANAN FIELD, WBAN, 50.1
CONCORD WASTEWATER PLANT, COOP, 49.6
SAN RAFAEL-CIVIC CENTER, COOP, 50.2
KENTFIELD, COOP, 50.0
MARTINEZ WATER PLANT, COOP, 45.9
BODIE CALIFORNIA STATE HISTORIC PARK, COOP, 26.4
NAPA COUNTY AIRPORT, WBAN, 47.0
BRIDGEPORT, COOP, 31.8
CALAVERAS BIG TREES, COOP, 44.1
FAIRFIELD, COOP, 50.1
SUTTER HILL CDF, COOP, 48.0
GRATON, COOP, 47.4
OCCIDENTAL, COOP, 50.9
SACRAMENTO EXECUTIVE AP, WBAN, 47.1
WINTERS, WBAN, 48.6
LAKE SOLANO, COOP, 50.0
SAINT HELENA, COOP, 51.4
FORT ROSS, COOP, 47.9
SACRAMENTO 5ESE, WBAN, 49.6
ANGWIN PACIFIC UNION COLLEGE, COOP, 49.6
WOODLAND 1 WNW, COOP, 47.7
SACRAMENTO METROPOLITAN AP, WBAN, 46.0
PACIFIC HOUSE, COOP, 39.4
CLOVERDALE, COOP, 50.0
SOUTH LAKE TAHOE AP, WBAN, 33.9
GEORGETOWN RS, COOP, 48.2
AUBURN, COOP, 46.1
CLEARLAKE 4 SE, COOP, 47.6
MARYSVILLE YUBA COUNTY AP, WBAN, 46.5
UKIAH MUNICIPAL AP, WBAN, 46.2
GRASS VALLEY NO. 2, COOP, 45.9
COLUSA 2 SSW, COOP, 47.8
BLUE CANYON AP, WBAN, 47.4
NEVADA CITY, COOP, 45.2
TRUCKEE AIRPORT, WBAN, 28.4
BOCA, COOP, 31.3
POTTER VALLEY POWERHOUSE, COOP, 46.8
BOWMAN DAM, COOP, 43.5
OROVILLE, COOP, 49.5
OROVILLE MUNICIPAL AP, WBAN, 47.6
SIERRAVILLE RS, COOP, 31.1
DOWNIEVILLE, COOP, 38.8
STRAWBERRY VALLEY, COOP, 45.0
STONY GORGE RESERVOIR, COOP, 46.4
DUNSMUIR TREATMENT PL, COOP, 40.3
JESS VALLEY, COOP, 32.8
MCCLOUD, COOP, 39.1
CALLAHAN, COOP, 33.0
SAWYERS BAR RS, COOP, 44.7
ALTURAS, COOP, 30.2
FORT JONES RS, COOP, 30.3
LAVA BEDS NAT MON, COOP, 33.5
CRESCENT CITY MCNAMARA AP, WBAN, 49.5
FORT BIDWELL, COOP, 33.1
TULELAKE, COOP, 29.4
COPCO NO 1 DAM, COOP, 35.1
BARSTOW, COOP, 48.5
PEARBLOSSOM, COOP, 51.6
EL CAJON, COOP, 58.7
MARKLEY COVE, COOP, 48.0
LORAINE 5 NNE, COOP, 49.3
LEE VINING, COOP, 35.0
ANAHEIM, COOP, 63.7
NEW MELONES DAM HQ, COOP, 50.5
MAMMOTH LAKES R.S., COOP, 35.1
MONTEREY WFO, COOP, 52.2
SKYLINE RIDGE PRESERVE, COOP, 50.6
FREMONT, COOP, 49.6
TEHACHAPI 4 SE, COOP, 46.6
VALLEJO, COOP, 52.1
OXNARD WFO, COOP, 60.3
HANFORD MUNICIPAL AP, WBAN, 46.6
RAMONA AIRPORT, WBAN, 54.7
VACAVILLE NUT TREE AP, WBAN, 48.2
ALTURAS MUNICIPAL AP, WBAN, 30.9
MADERA MUNICIPAL AP, WBAN, 46.7
BAKERSFIELD 5 NW, COOP, 47.9
FRESNO 5 NE, COOP, 48.5
OCEANSIDE MUNICIPAL AP, WBAN, 55.6
SAN DIEGO SEAWORLD, COOP, 56.3
ARCATA EUREKA AP, WBAN, 49.6
NEWPORT BEACH HARBOR, WBAN, 61.3
ESCONDIDO NO. 2, COOP, 59.7
REDDING MUNICIPAL AP, WBAN, 48.7
AVALON CATALINA AP, WBAN, 62.6
SANTA MARIA PUBLIC AP, WBAN, 55.1
MOUNT SHASTA, WBAN, 37.2
RED BLUFF MUNICIPAL AP, WBAN, 49.1
NEEDLES AP, WBAN, 58.6
CHINA LAKE NAF, WBAN, 46.8
PARADISE, COOP, 51.5
VINTON, COOP, 37.1
PORTOLA, COOP, 33.4
DE SABLA, COOP, 45.5
CANYON DAM, COOP, 33.8
CHESTER, COOP, 33.5
MINERAL, COOP, 35.2
SCOTIA, COOP, 48.7
MANZANITA LAKE, COOP, 35.9
WHISKEYTOWN RESERVOIR, COOP, 49.2
SHASTA DAM, COOP, 50.0
TRINITY RIVER HATCHERY, COOP, 40.3
BIG BAR 4 E, COOP, 38.7
HAT CREEK, COOP, 35.2
WILLOW CREEK 1 NW, COOP, 41.5
REDONDO BEACH, COOP, 59.7
BURBANK VALLEY PUMP PLANT, COOP, 60.4
MORONGO VALLEY NORTH, COOP, 55.7
SHAFTER 6E, COOP, 46.0
TRUCKEE-TAHOE AIRPORT DISTRICT, COOP, 28.4
SUSANVILLE 2SW, WBAN, 32.2
TEJON RANCHO, WBAN, 49.6
BURBANK GLENDALE PASADENA AP, WBAN, 61.1
WATSONVILLE MUNICIPAL AP, WBAN, 52.3
SANTA ROSA SONOMA CO AP, WBAN, 46.6
PLACERVILLE 3 ENE, COOP, 50.1
TAHOMA, COOP, 32.1
CORONA MUNICIPAL AIRPORT, WBAN, 56.3
VERDI 2W, COOP, 34.2
STATE LINE, Snotel, 35.9
SOUTH LAKE F.S, COOP, 46.7
CAMPO ASOS, WBAN, 52.1
Burbank Glendale Pasadena Area, ThreadEx, 61.1
Camarillo Area, ThreadEx, 59.8
Needles Area, ThreadEx, 58.6
Oxnard Area, ThreadEx, 60.3
Palm Springs Area, ThreadEx, 62.6
Riverside Area, ThreadEx, 60.0
Ramona Area, ThreadEx, 54.7
LONG VALLEY 2, COOP, 39.5
VALLEY CENTER 1N, COOP, 56.2
Crescent City Area, ThreadEx, 49.5
Escondido Area, ThreadEx, 59.7
Sacramento Downtown Area, ThreadEx, 49.6
Tahoe City Area, ThreadEx, 34.3
Ukiah Area, ThreadEx, 46.2
HEARST CASTLE, COOP, 59.8
HESPERIA 2E, COOP, 51.6
RANCHO BERNARDO, COOP, 59.8
OCOTILLO WELLS 2W, COOP, 61.0
IRVINE RANCH, COOP, 62.7
MT. LAGUNA #3, COOP, 47.3
AVALON INLAND, COOP, 54.9
TORRANCE AP, WBAN, 59.5
MERCED 23 WSW, WBAN, 44.3
REDDING 12 WNW, WBAN, 48.4
STOVEPIPE WELLS 1 SW, WBAN, 54.6
LOS ANGELES DOWNTOWN/USC, WBAN, 61.0
FRESNO YOSEMITE INT'L, WBAN, 48.0
MONTEREY PENINSUL AP, WBAN, 54.3
PASO ROBLES MUNICIPAL AP, WBAN, 47.7
MONTAGUE SISKIYOU AIRPORT, WBAN, 32.3
SAN JOSE, WBAN, 51.8
PALM SPRINGS ASOS, WBAN, 62.6
SAN DIEGO BROWN FIELD, WBAN, 59.3
Bakersfield Area, ThreadEx, 50.0
Bishop Area, ThreadEx, 42.0
Los Angeles Downtown Area, ThreadEx, 61.0
Eureka Area, ThreadEx, 47.3
Fresno Area, ThreadEx, 48.0
Los Angeles Airport Area, ThreadEx, 61.4
Long Beach Area, ThreadEx, 60.8
Redding Area, ThreadEx, 48.7
Sacramento Area, ThreadEx, 47.1
San Diego Area, ThreadEx, 60.2
Stockton Area, ThreadEx, 47.6
San Francisco Airport Area, ThreadEx, 51.9
Santa Maria Area, ThreadEx, 55.1
CAMP PENDLETON MCAS, WBAN, 54.9
LEMOORE REEVES NAS, WBAN, 45.1
ARVIN, COOP, 47.6
CHIRIACO SUMMIT, COOP, 56.4
FALLBROOK 5 NE, WBAN, 63.7
SANTA BARBARA 11 W, WBAN, 52.5
BODEGA 6 WSW, WBAN, 51.8
YOSEMITE VILLAGE 12 W, WBAN, 47.7
YUCCA MESA, COOP, 54.1
YUCCA VALLEY, COOP, 51.6
JOHNSON VALLEY, COOP, 49.8
ACTON CALIFORNIA, RAWS, 54.4
ARROYO GRANDE CALIFORNIA, RAWS, 59.3
ALDER SPRINGS CALIFORNIA, RAWS, 50.0
ALPINE CALIFORNIA, RAWS, 60.6
LOS ALTOS CALIFORNIA, RAWS, 52.5
ANZA CALIFORNIA, RAWS, 51.3
ALDER POINT CALIFORNIA, RAWS, 43.3
ARROYO SECO (MT. DIABLO) CALIF, RAWS, 53.0
ASH CREEK CALIFORNIA, RAWS, 37.0
BACKBONE CALIFORNIA, RAWS, 45.8
BALD MTN LOC CALIFORNIA, RAWS, 51.1
BARNABY CALIFORNIA, RAWS, 53.7
BATTERSON CALIFORNIA, RAWS, 52.4
BIG BAR CALIFORNIA, RAWS, 41.5
BELL CANYON CALIFORNIA, RAWS, 65.1
BRADLEY CALIFORNIA, RAWS, 47.7
BEAR PEAK CALIFORNIA, RAWS, 43.7
BENTON CALIFORNIA, RAWS, 39.5
BEAUMONT CALIFORNIA, RAWS, 57.2
BEVERLY HILLS CALIFORNIA, RAWS, 66.2
BANGOR CALIFORNIA, RAWS, 50.2
BIG PINES CALIFORNIA, RAWS, 45.4
BIG ROCK CALIFORNIA, RAWS, 52.2
BLACK DIAMOND CALIFORNIA, RAWS, 50.2
BLUE DOOR CALIFORNIA, RAWS, 34.0
BLUE RIDGE (KNF) CALIFORNIA, RAWS, 43.7
BEN BOLT CALIFORNIA, RAWS, 49.4
BEN LOMOND CALIFORNIA, RAWS, 55.5
BOGARD R.S. CALIFORNIA, RAWS, 29.6
BOONVILLE CALIFORNIA, RAWS, 48.7
BIG PINE FLAT CALIFORNIA, RAWS, 42.5
BRIDGEPORT 4NW CALIFORNIA, RAWS, 36.8
BRANCH MOUNTAIN CALIFORNIA, RAWS, 53.9
BEAR FLAT CALIFORNIA, RAWS, 36.3
BRIONES CALIFORNIA, RAWS, 51.1
BLACKROCK CALIFORNIA, RAWS, 39.9
BROOKS CALIFORNIA, RAWS, 50.5
BIG SUR CALIFORNIA, RAWS, 57.5
BULL FLAT CALIFORNIA, RAWS, 30.3
BURNS CANYON CALIFORNIA, RAWS, 48.7
BUTTERCUP CALIFORNIA, RAWS, 61.5
BEAVER CAMP LOC CALIFORNIA, RAWS, 52.1
BRAZIE RANCH CALIFORNIA, RAWS, 36.4
CAHUILLA CALIFORNIA, RAWS, 62.7
CALLAHAN CALIFORNIA, RAWS, 36.8
CAMERON FIRE STATION CALIFORNI, RAWS, 51.7
CARRIZO CALIFORNIA, RAWS, 56.3
CASE SPRINGS CALIFORNIA, RAWS, 61.9
CATHEYS VALLEY CALIFORNIA, RAWS, 50.3
CEDAR GROVE CALIFORNIA, RAWS, 43.7
CHEESEBORO CALIFORNIA, RAWS, 64.5
CHILAO CALIFORNIA, RAWS, 53.6
CHUCHUPATE CALIFORNIA, RAWS, 41.5
CLAREMONT CALIFORNIA, RAWS, 60.0
CLEAR CREEK CALIFORNIA, RAWS, 59.3
CLARK CALIFORNIA, RAWS, 61.0
CALAVERAS ROAD CALIFORNIA, RAWS, 51.9
CASE MOUNTAIN CALIFORNIA, RAWS, 48.0
COHASSET CALIFORNIA, RAWS, 53.3
COLLINS BALDY CALIFORNIA, RAWS, 40.7
SANTA ROSA ISLAND CALIFORNIA, RAWS, 61.4
SANTA ROSA PLATEAU CALIFORNIA, RAWS, 61.9
SANTA ROSA CALIFORNIA, RAWS, 52.3
STAMPEDE CALIFORNIA, RAWS, 34.5
STONYFORD CALIFORNIA, RAWS, 48.6
SUGARLOAF (SHF) CALIFORNIA, RAWS, 46.2
SPRING VALLEY CALIFORNIA, RAWS, 52.4
TANBARK CALIFORNIA, RAWS, 61.2
TEMESCAL (LPF) CALIFORNIA, RAWS, 59.6
THOMES CREEK CALIFORNIA, RAWS, 53.5
TIMBER MOUNTAIN CALIFORNIA, RAWS, 36.5
MOUNT TOM CALIFORNIA, RAWS, 40.8
LAS TRAMPAS CALIFORNIA, RAWS, 51.1
TRINITY CAMP CALIFORNIA, RAWS, 40.5
TRIMMER CALIFORNIA, RAWS, 50.0
UHL / HOT SPRINGS, RAWS, 50.7
UNDERWOOD CALIFORNIA, RAWS, 42.3
VALLEY CENTER CALIFORNIA, RAWS, 60.7
VAN BREMMER CALIFORNIA, RAWS, 37.6
VALYERMO CALIFORNIA, RAWS, 49.0
VANDENBERG CALIFORNIA, RAWS, 61.0
WALKER CALIFORNIA, RAWS, 40.0
WALKER PASS CALIFORNIA, RAWS, 50.7
WARM SPRINGS CALIFORNIA, RAWS, 54.1
WEED AIRPORT CALIFORNIA, RAWS, 34.1
WESTWOOD CALIFORNIA, RAWS, 38.8
WHITE CLOUD CALIFORNIA, RAWS, 51.1
WHITTIER HILLS CALIFORNIA, RAWS, 65.6
WHITMORE CALIFORNIA, RAWS, 48.8
WILEY RIDGE CALIFORNIA, RAWS, 61.8
WOFFORD HEIGHTS CALIFORNIA, RAWS, 51.8
WOLVERTON CALIFORNIA, RAWS, 52.0
WOODACRE CALIFORNIA, RAWS, 51.9
WHITAKER PEAK CALIFORNIA, RAWS, 55.2
WHITE WOLF CALIFORNIA, RAWS, 39.7
YOLLA BOLLA CALIFORNIA, RAWS, 46.2
YUCCA VALLEY CALIFORNIA, RAWS, 51.2
YUROK CALIFORNIA, RAWS, 46.4
HAGAN'S MEADOW, Snotel, 35.4
BLUE LAKES, Snotel, 33.9
POISON FLAT, Snotel, 33.3
SONORA PASS, Snotel, 34.7
LEAVITT MEADOWS, Snotel, 36.7
VIRGINIA LAKES RIDGE, Snotel, 35.6
LOBDELL LAKE, Snotel, 34.0
EBBETTS PASS, Snotel, 36.5
HEAVENLY VALLEY, Snotel, 36.3
LEAVITT LAKE, Snotel, 34.8
MONITOR PASS, Snotel, 37.5
BURNSIDE LAKE, Snotel, 31.6
SUMMIT MEADOW, Snotel, 35.7
FORESTDALE CREEK, Snotel, 37.9
HORSE MEADOW, Snotel, 37.6
CARSON PASS, Snotel, 35.4
CROWDER FLAT, Snotel, 35.3
CEDAR PASS, Snotel, 36.9
DISMAL SWAMP, Snotel, 31.9
ADIN MTN, Snotel, 32.9
INDEPENDENCE CREEK, Snotel, 33.7
INDEPENDENCE CAMP, Snotel, 36.6
INDEPENDENCE LAKE, Snotel, 36.5
TRUCKEE #2, Snotel, 36.6
WARD CREEK #3, Snotel, 35.4
TAHOE CITY CROSS, Snotel, 38.6
SQUAW VALLEY G.C., Snotel, 38.3
CSS LAB, Snotel, 37.8
RUBICON #2, Snotel, 38.6
ECHO PEAK, Snotel, 39.8
FALLEN LEAF, Snotel, 35.5
BEAR VALLEY F.D., COOP, 45.1
CONVERSE CALIFORNIA, RAWS, 49.4
COOSKIE MOUNTAIN CALIFORNIA, RAWS, 49.1
CORRALITOS CALIFORNIA, RAWS, 53.0
COUNTY LINE CALIFORNIA, RAWS, 52.0
CAMP 9 CALIFORNIA, RAWS, 55.2
CRANE FLAT LOOKOUT CALIFORNIA, RAWS, 49.8
CRESTVIEW CALIFORNIA, RAWS, 33.6
CORNING CALIFORNIA, RAWS, 48.8
CARPENTER RIDGE CALIFORNIA, RAWS, 46.3
CRANSTON CALIFORNIA, RAWS, 60.6
CRAZY PEAK CALIFORNIA, RAWS, 45.2
CASHMAN CALIFORNIA, RAWS, 39.3
DESCANSO CALIFORNIA, RAWS, 54.5
DEVILS GARDEN CALIFORNIA, RAWS, 35.2
DIABLO GRANDE CALIFORNIA, RAWS, 52.5
DEMOCRAT CALIFORNIA, RAWS, 50.5
DINKEY CALIFORNIA, RAWS, 40.5
DOG VALLEY CALIFORNIA, RAWS, 33.2
DOYLE CALIFORNIA, RAWS, 33.1
DUNCAN CALIFORNIA, RAWS, 43.6
DEL VALLE CALIFORNIA, RAWS, 61.4
EAGLE PEAK CALIFORNIA, RAWS, 49.6
EEL RIVER CAMP CALIFORNIA, RAWS, 45.7
EEL RIVER CALIFORNIA, RAWS, 43.1
EL CARISO CALIFORNIA, RAWS, 61.9
MOUNT ELIZABETH CALIFORNIA, RAWS, 52.2
EL MIRAGE CALIFORNIA, RAWS, 47.0
FANCHER CREEK CALIFORNIA, RAWS, 53.6
FAWNSKIN CALIFORNIA, RAWS, 41.3
FENCE MEADOW CALIFORNIA, RAWS, 52.5
FORT HUNTER LIGGET CALIFORNIA, RAWS, 50.9
FIGUEROA CALIFORNIA, RAWS, 60.5
FISH CREEK MTN CALIFORNIA, RAWS, 66.5
FIVE MILE CALIFORNIA, RAWS, 53.4
FORESTHILL CALIFORNIA, RAWS, 50.7
FOUNTAIN SPRINGS CALIFORNIA, RAWS, 48.3
FREMONT CANYON CALIFORNIA, RAWS, 64.5
FRIEND MOUNTAIN CALIFORNIA, RAWS, 45.2
GRASSHOPPER CALIFORNIA, RAWS, 36.1
GOOSE VALLEY CALIFORNIA, RAWS, 63.6
GORDON CALIFORNIA, RAWS, 33.4
GREEN SPRING CALIFORNIA, RAWS, 49.0
HASTINGS CALIFORNIA, RAWS, 56.9
HAWKEYE CALIFORNIA, RAWS, 54.9
HAYFORK CALIFORNIA, RAWS, 38.4
HELL HOLE CALIFORNIA, RAWS, 48.1
HERNANDEZ CALIFORNIA, RAWS, 55.5
HIGH GLADE LOOKOUT CALIFORNIA, RAWS, 49.9
HIGH SIERRA CALIFORNIA, RAWS, 38.9
HOPLAND CALIFORNIA, RAWS, 52.4
HOLLISTER CALIFORNIA, RAWS, 50.9
HUNTER MOUNTAIN CALIFORNIA, RAWS, 40.8
HORSE LAKE CALIFORNIA, RAWS, 30.6
HOOPA CALIFORNIA, RAWS, 44.2
HORSE THIEF SPRINGS CALIFORNIA, RAWS, 49.5
HURLEY CALIFORNIA, RAWS, 44.3
INDIAN WELL CALIFORNIA, RAWS, 34.7
JARBO GAP CALIFORNIA, RAWS, 48.5
JERSEYDALE CALIFORNIA, RAWS, 51.0
JOHNSONDALE CALIFORNIA, RAWS, 41.5
JUANITA LAKE CALIFORNIA, RAWS, 37.0
JULIAN CALIFORNIA, RAWS, 52.5
JUNIPER CREEK CALIFORNIA, RAWS, 34.4
KEENWILD CALIFORNIA, RAWS, 53.5
KETTLEMAN HILLS CALIFORNIA, RAWS, 52.2
KNOXVILLE CREEK CALIFORNIA, RAWS, 51.1
KONOCTI CALIFORNIA, RAWS, 52.6
LOS BANOS CALIFORNIA, RAWS, 51.3
MT. LAGUNA CALIFORNIA, RAWS, 46.3
LA HONDA CALIFORNIA, RAWS, 54.5
LA PANZA CALIFORNIA, RAWS, 46.5
LAURAL MOUNTAIN CALIFORNIA, RAWS, 51.2
LASSEN LODGE CALIFORNIA, RAWS, 49.3
LAUFMAN CALIFORNIA, RAWS, 33.4
LAYTONVILLE CALIFORNIA, RAWS, 45.0
LYONS VALLEY CALIFORNIA, RAWS, 51.9
LYTLE CREEK CALIFORNIA, RAWS, 57.8
MAD RIVER CALIFORNIA, RAWS, 44.2
MALIBU HILLS CALIFORNIA, RAWS, 64.3
MANZANITA LAKE CALIFORNIA, RAWS, 38.6
MILL CREEK (BDF) CALIFORNIA, RAWS, 59.2
MCGUIRES CALIFORNIA, RAWS, 46.2
MEANS LAKE CALIFORNIA, RAWS, 50.6
MENDOCINO PASS CALIFORNIA, RAWS, 45.9
METCALF GAP CALIFORNIA, RAWS, 52.7
MID HILLS CALIFORNIA, RAWS, 47.8
MILL CREEK (ANF) CALIFORNIA, RAWS, 52.5
MILO CALIFORNIA, RAWS, 54.2
MALLORY RIDGE CALIFORNIA, RAWS, 51.6
MONTECITO CALIFORNIA, RAWS, 67.3
MORMON ROCK CALIFORNIA, RAWS, 53.9
MOUNTAIN REST CALIFORNIA, RAWS, 53.1
MARKLEEVILLE CALIFORNIA, RAWS, 37.2
MT. SHASTA CALIFORNIA, RAWS, 37.7
MARIPOSA CALIFORNIA, RAWS, 49.6
MOUNT ZION CALIFORNIA, RAWS, 52.7
NORTH FORK CALIFORNIA, RAWS, 50.8
OAK KNOLL CALIFORNIA, RAWS, 38.5
OAK MOUNTAIN CALIFORNIA, RAWS, 46.6
OAK CREEK CALIFORNIA, RAWS, 47.8
OAK GROVE CALIFORNIA, RAWS, 56.1
OAKLAND NORTH CALIFORNIA, RAWS, 51.5
OAK OPENING CALIFORNIA, RAWS, 52.1
OAKLAND SOUTH CALIFORNIA, RAWS, 51.3
OPAL MOUNTAIN CALIFORNIA, RAWS, 54.7
OWENS CAMP LOC CALIFORNIA, RAWS, 44.7
OWENS VALLEY CALIFORNIA, RAWS, 46.7
OZENA CALIFORNIA, RAWS, 50.7
PARKFIELD CALIFORNIA, RAWS, 48.7
PINE HILLS CALIFORNIA, RAWS, 55.2
PIERCE CALIFORNIA, RAWS, 38.6
PINEHURST CALIFORNIA, RAWS, 51.5
PIKE COUNTY LOOKOUT CALIFORNIA, RAWS, 51.4
PILOT HILL CALIFORNIA, RAWS, 48.0
PARK RIDGE CALIFORNIA, RAWS, 47.4
PINNACLES CALIFORNIA, RAWS, 54.5
